Vehicle ID,Vehicle Type,Average Speed
1,car,81.32764169850907
2,car,61.814415633627256
3,car,41.50833803523723
4,car,12.603574137722664
5,car,17.880874648362713
6,truck,46.33565798605478
7,truck,33.187090728730944
8,car,18.51055067308243
9,truck,18.675726871769477
